,Earnings,Earnings,Earnings,Earnings,Earnings,Players,Players,Players,Players,Players,Tournaments,Tournaments,Tournaments,Tournaments,Tournaments
,sum,mean,median,min,max,sum,mean,median,min,max,sum,mean,median,min,max
Game,,,,,,,,,,,,,,,
ARMS,18248.09,760.3370833333333,415.72,50.0,2930.57,237,9.875,8.5,2,23,82,3.4166666666666665,3.0,1,9
Acceleration of SUGURI 2,310.0,155.0,155.0,100.0,210.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Age of Empires,190075.61,4319.900227272727,1907.5,42.25,31500.0,733,16.65909090909091,16.0,1,60,95,2.159090909090909,1.0,1,7
Age of Empires II,1486088.51,9288.0531875,3776.6949999999997,50.0,120000.0,2892,18.075,8.5,0,170,573,3.58125,2.0,1,21
Age of Empires III,67913.85,1656.4353658536586,500.0,100.0,20000.0,263,6.414634146341464,4.0,1,29,75,1.829268292682927,1.0,1,7
Age of Empires Online,2668.0,381.14285714285717,448.0,100.0,500.0,37,5.285714285714286,5.0,3,8,7,1.0,1.0,1,1
Age of Mythology,52360.0,13090.0,1600.0,160.0,49000.0,22,5.5,5.5,3,8,5,1.25,1.0,1,2
Akatsuki Blitzkampf,20.0,20.0,20.0,20.0,20.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Aliens versus Predator 2,40000.0,40000.0,40000.0,40000.0,40000.0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
Apex Legends,4273351.6899999995,267084.48062499997,203500.0,17575.52,1050001.0,2394,149.625,133.0,42,249,170,10.625,8.0,2,30
Aquapazza: Aquaplus Dream Match,245.0,122.5,122.5,85.0,160.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Arcana Heart 3,1000.0,1000.0,1000.0,1000.0,1000.0,4,4.0,4.0,4,4,1,1.0,1.0,1,1
Arcana Heart 3: LOVE MAX!!!!!,410.0,205.0,205.0,200.0,210.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Arcana Heart 3: Love Max Six Stars!!!!!,570.0,142.5,135.0,50.0,250.0,12,3.0,3.0,3,3,4,1.0,1.0,1,1
Arena of Valor,14906095.629999999,573311.3703846154,367675.41000000003,11100.0,2509250.0,1102,42.38461538461539,41.0,5,123,50,1.9230769230769231,2.0,1,5
Artifact,119168.54,5674.6923809523805,530.0,60.0,39282.65,431,20.523809523809526,10.0,2,82,166,7.904761904761905,4.0,1,28
Artifact 2.0,155.0,51.666666666666664,50.0,45.0,60.0,3,1.0,1.0,1,1,3,1.0,1.0,1,1
Asphalt 4,29500.0,14750.0,14750.0,12000.0,17500.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Asphalt 9: Legends,51520.0,25760.0,25760.0,19620.0,31900.0,7,3.5,3.5,3,4,2,1.0,1.0,1,1
Assetto Corsa,191851.7,12790.113333333335,9116.2,536.8,33722.8,155,10.333333333333334,6.0,1,20,31,2.066666666666667,2.0,1,4
Assetto Corsa Competizione,1649.0,329.8,236.0,234.0,708.0,12,2.4,2.0,2,4,9,1.8,2.0,1,2
Asuka 120% LimitOver BURNING Fest.,10.0,10.0,10.0,10.0,10.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Attack on Titan Tribute Game,1296713.53,34124.0402631579,8600.0,150.0,200000.0,382,10.052631578947368,7.0,2,33,71,1.868421052631579,1.0,1,8
Auto Chess,1076322.28,215264.456,35522.28,400.0,1000000.0,81,16.2,12.0,3,32,6,1.2,1.0,1,2
Battalion 1944,185654.66999999998,18565.466999999997,9520.869999999999,1290.79,52500.0,184,18.4,15.0,0,38,21,2.1,2.0,1,6
Battlefield 2,91715.22,9171.522,4533.67,0.0,50000.0,0,0.0,0.0,0,0,12,1.2,1.0,1,2
Battlefield 2142,18546.14,9273.07,9273.07,0.0,18546.14,0,0.0,0.0,0,0,3,1.5,1.5,1,2
Battlefield 3,25407.46,12703.73,12703.73,7110.86,18296.6,5,2.5,2.5,0,5,4,2.0,2.0,1,3
Battlefield 4,245766.46,7927.950322580645,2637.0,544.79,42353.29,627,20.225806451612904,19.0,5,41,144,4.645161290322581,5.0,1,8
Battlefield Hardline,13463.28,13463.28,13463.28,13463.28,13463.28,20,20.0,20.0,20,20,1,1.0,1.0,1,1
Battlerite,65173.45,4655.246428571429,1458.49,300.0,28000.0,225,16.071428571428573,12.5,3,39,75,5.357142857142857,4.5,1,16
Beat Aim,430.0,86.0,70.0,40.0,160.0,20,4.0,3.0,3,7,6,1.2,1.0,1,2
Big Buck Hunter Arcade,76200.0,76200.0,76200.0,76200.0,76200.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Black Squad,8480.72,2120.18,1717.405,1035.48,4010.43,101,25.25,26.5,20,28,17,4.25,4.5,2,6
Blade & Soul,409355.52,136451.84,149772.0,103401.12,156182.4,68,22.666666666666668,24.0,16,28,4,1.3333333333333333,1.0,1,2
BlazBlue: Calamity Trigger,35.0,35.0,35.0,35.0,35.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
BlazBlue: Central Fiction,78879.26,3033.817692307692,960.0,80.0,33000.0,188,7.230769230769231,8.0,3,15,38,1.4615384615384615,1.0,1,4
BlazBlue: Chronophantasma,37020.58,3702.058,0.0,0.0,35080.0,94,9.4,8.0,4,16,15,1.5,1.5,1,2
BlazBlue: Chronophantasma Extend,4918.77,702.6814285714287,413.17,0.0,2460.0,33,4.714285714285714,3.0,3,9,11,1.5714285714285714,1.0,1,3
BlazBlue: Continuum Shift Extend,0.0,0.0,0.0,0.0,0.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
